algorithm,mean,std,best,worst
PSO,709.864648185511,62.14217051083455,689.1827058377223,886.7213221186227
GWO,674.6383476419064,9.893160939690691,661.6647131925879,687.5379213172923
ACOR,656.2605344717958,5.801605808417037,646.6719331474781,664.7712761745324
