algorithm,seed,final_cost,iters_to_5pct,wall_time_s,constraint_active
ACOR,0,3053.1696688896054,100,113.26986802299871,False
ACOR,1,3321.0356236585685,100,118.6249163070006,False
ACOR,2,3093.2388004997215,100,120.68544567699973,False
ACOR,3,2921.459687443869,100,106.04366688099981,False
ACOR,4,3021.1112174980917,100,70.32368550200044,False
ACOR,5,3770.1517433352165,100,47.7299296759993,False
ACOR,6,3135.024203579625,100,119.0470871790003,False
ACOR,7,2760.206230382948,100,85.03571163999914,False
ACOR,8,2887.4215047340736,100,69.07592459799889,False
ACOR,9,2925.341833826496,100,47.05444975899991,False
ACOR,10,2963.5841897225782,100,118.78760269799932,False
ACOR,11,3001.3216880588866,100,82.05686917999992,False
ACOR,12,2704.692115921597,100,107.09953717700046,False
ACOR,13,2955.641959804089,100,78.54491003099974,False
ACOR,14,2982.2388336336617,100,116.5122282350003,False
ACOR,15,2850.565946613527,100,87.44392847499876,False
ACOR,16,2758.1005621971253,100,68.95099850400038,False
ACOR,17,3033.241450299883,100,69.29363673499938,False
ACOR,18,2820.615173048269,100,110.80419449500005,False
ACOR,19,2633.387805942844,100,85.98295051400055,False
ACOR,20,2706.4243152559957,100,111.5173342119997,False
ACOR,21,2851.718236351791,100,80.18998255900078,False
ACOR,22,3050.3646366626604,100,114.51366583399977,False
ACOR,23,3214.8782095799165,100,65.72367637800016,False
ACOR,24,3364.64583033293,100,71.0326474700014,False
ACOR,25,2870.9440339548414,100,47.073997994999445,False
ACOR,26,2677.793396392791,100,113.97454566799934,False
ACOR,27,2928.3342975560226,100,68.76929295600166,False
ACOR,28,2808.650137434014,100,96.04545960399992,False
ACOR,29,2940.5292647433075,100,61.06614199700016,False
GWO,0,2420.6584564985824,29,98.37341906199981,False
GWO,1,2457.7981830865383,36,137.23750586499955,False
GWO,2,2478.6809471094252,57,110.30986694900093,False
GWO,3,2584.578747129355,100,111.72325036999973,False
GWO,4,2579.673215348695,100,110.78238134699859,False
GWO,5,2443.084326745582,48,110.35845107500063,False
GWO,6,2433.243832681633,44,123.75128530800066,False
GWO,7,2414.3855808415638,25,119.7685699979993,False
GWO,8,2417.847900717355,32,115.9155548710005,False
GWO,9,2430.97558144479,33,120.7156715860001,False
GWO,10,2412.140882305993,42,103.04877678600133,False
GWO,11,2503.4315678312946,53,104.82666832599898,False
GWO,12,2418.583795153743,27,108.81578102599997,False
GWO,13,2451.355374466224,28,99.75641462100066,False
GWO,14,2444.2007863106546,41,116.15621315200042,False
GWO,15,2416.581070562174,22,108.17757363700002,False
GWO,16,2439.610267731825,43,107.05115753899918,False
GWO,17,2410.4059778720734,29,100.25356710099913,False
GWO,18,2476.023553917382,60,123.2942483099996,False
GWO,19,2602.123171709088,100,118.27356606600006,False
GWO,20,2768.944105135506,100,111.51058592399932,False
GWO,21,2420.2464732261583,27,106.49461776600037,False
GWO,22,2734.0772568642196,100,113.63177058099973,False
GWO,23,2460.8476761797756,45,109.80308366499958,False
GWO,24,2482.045178745915,44,121.1166179640004,False
GWO,25,2573.686339836179,100,101.10082518400122,False
GWO,26,2430.921733718964,48,102.44792140800018,False
GWO,27,2434.990910401428,79,97.1200694500003,False
GWO,28,2434.033753280799,32,108.41835881300176,False
GWO,29,2449.8574519683593,34,110.70005815799959,False
PSO,0,6624.582627534608,100,119.38169799800016,False
PSO,1,6563.218048763702,100,139.68775876699874,False
PSO,2,5427.179963378807,100,108.9803165329995,False
PSO,3,7025.0844800081495,100,143.22597525299898,False
PSO,4,6970.439866332058,100,118.26373776100081,False
PSO,5,6951.585832776588,100,146.60282871799973,True
PSO,6,3893.1647800050287,100,105.59280162600044,False
PSO,7,6277.348433956375,100,139.43702622800083,False
PSO,8,6087.58880789069,100,114.26539901599972,False
PSO,9,8610.599059667265,100,142.86162591500033,True
PSO,10,5883.5089320034,100,111.48989289900055,False
PSO,11,6364.572780320514,100,143.54810400099996,False
PSO,12,10897.209625777761,100,100.6285895130004,True
PSO,13,7310.869398598357,100,145.66708984100114,True
PSO,14,5711.726078753161,100,112.00920182200025,False
PSO,15,5998.471565926071,100,134.75039616300091,False
PSO,16,6492.780536729451,100,106.63921599700006,True
PSO,17,6840.783107710157,100,141.41992757599837,False
PSO,18,5490.543306521617,100,119.27404671099976,False
PSO,19,7526.954617827048,100,151.7656858749997,True
PSO,20,5470.377800556768,100,113.18255242000123,False
PSO,21,5428.953010030384,100,145.3054200229999,False
PSO,22,5076.352525346727,100,105.82272153299891,False
PSO,23,5510.166353796988,100,141.0762720599996,False
PSO,24,5202.435365415192,100,97.25896239599933,False
PSO,25,7984.278546321385,100,137.6226261289994,True
PSO,26,13087.84262336412,100,95.58170378700015,True
PSO,27,6013.223090453168,100,139.178790725,False
PSO,28,5781.2319403709425,100,109.4257952980006,False
PSO,29,6272.211196218332,100,148.34448613000131,False
